feature,high_risk_abs_shap,low_risk_abs_shap,shap_diff
growth_impact_interaction,0.07591385590805139,0.043757635907200595,0.03215622000085079
remote_growth_interaction,0.06184974562294401,0.044715497198559086,0.017134248424384928
salary_experience_interaction,0.05057366220560084,0.038191013454546945,0.012382648751053896
job_title_encoded,0.1553217660089012,0.14690440432079885,0.008417361688102365
job_density,0.044867698361072246,0.03764219851138496,0.007225499849687289
Industry_Entertainment,0.010044186786977669,0.003975066427257242,0.006069120359720427
salary_zscore,0.03531509970671042,0.029484511282920726,0.0058305884237896954
Experience Required (Years),0.02864949909216832,0.023339540808648425,0.005309958283519895
Industry_Retail,0.008772475200844109,0.0036420592082729193,0.0051304159925711895
Location_Brazil,0.007553046789898736,0.005675673550949889,0.0018773732389488467
impact_encoded,0.011879212115425074,0.010501264331736019,0.0013779477836890555
Industry_IT,0.005009639133773996,0.0038254508686460294,0.0011841882651279665
Industry_Healthcare,0.0037038221645034394,0.0027969539366367734,0.000906868227866666
Location_India,0.004158881799463306,0.00422502508013593,-6.614328067262431e-05
salary_level_encoded,0.00014187458481587463,0.00032239392703642205,-0.00018051934222054742
Location_Germany,0.003009055596642553,0.0036420982992129433,-0.0006330427025703902
Location_USA,0.0038982144796586805,0.004773393599132384,-0.0008751791194737037
Industry_Transportation,0.0038383629737100762,0.004819103292831009,-0.0009807403191209331
remote_level_encoded,0.0012968468890465648,0.002562038876668213,-0.001265191987621648
Location_Canada,0.0026285462122554717,0.0040734032714054985,-0.0014448570591500268
status_encoded,0.008600492735558313,0.010812944577727648,-0.002212451842169335
Industry_Manufacturing,0.0030784701729394234,0.005491006347822965,-0.002412536174883542
Location_UK,0.00292808035624479,0.005628466454660759,-0.002700386098415969
growth_category_encoded,0.0005814924235747278,0.003492837096885459,-0.002911344673310731
experience_level_encoded,0.0016510081343466727,0.004923575499721926,-0.003272567365375253
Job Openings (2024),0.03920153794238396,0.04332471333089745,-0.004123175388513492
salary_per_experience,0.03949602507563996,0.04669682776071035,-0.0072008026850703954
Location_China,0.003292138236824356,0.010626886490189768,-0.007334748253365411
Median Salary (USD),0.028748963541515134,0.03730573807198952,-0.00855677453047439
Industry_Finance,0.002148339816249616,0.011048386812889931,-0.008900046996640315
diversity_growth_interaction,0.04130084972997805,0.05099877447035933,-0.00969792474038128
education_encoded,0.0078021194107708285,0.01838414695778825,-0.01058202754701742
Projected Openings (2030),0.044909955937545515,0.05711218017574347,-0.012202224238197952
Gender Diversity (%),0.04053014149362306,0.05615705050851721,-0.01562690901489415
Remote Work Ratio (%),0.03477284120973107,0.051890534946141174,-0.017117693736410103
growth_rate,0.03485004799401561,0.05211768633529715,-0.01726763834128154
salary_remote_interaction,0.037976346581447225,0.07046359921190734,-0.032487252630460116
